Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
83767,13/03/00,1200,17.4,,18.5,,,,,
83767,14/03/00,0,,24.4,,0,4.3,21.72,73.25,0.666667
83767,14/03/00,1200,0.4,,19.8,,,,,
83767,15/03/00,0,,27.3,,0.7,4.8,22.8,69,1.333333
83767,15/03/00,1200,0,,18.5,,,,,
83767,16/03/00,0,,29.4,,4.9,4,24.48,83.5,0.666667
83767,16/03/00,1200,3.6,,20.7,,,,,
83767,17/03/00,0,,29.4,,6.3,2.2,24.58,83,0.666667
83767,17/03/00,1200,8.1,,21.2,,,,,
83767,18/03/00,0,,31,,5.6,2.4,24.68,78.75,1
83767,18/03/00,1200,5,,20.3,,,,,
83767,19/03/00,0,,26.8,,6.4,3.6,23.04,73.5,1.333333
83767,19/03/00,1200,0,,20.1,,,,,
83767,20/03/00,0,,29.2,,10.1,4.4,23.74,67.25,1.333333
83767,20/03/00,1200,0,,18.8,,,,,
83767,21/03/00,0,,30.1,,8.1,5.3,24.54,69.25,0.666667
83767,21/03/00,1200,0,,19.2,,,,,
83767,22/03/00,0,,28.6,,1.5,3.5,23.16,86.25,1
83767,22/03/00,1200,0,,20,,,,,
83767,23/03/00,0,,30.1,,5.6,2.9,25,74.25,1
83767,23/03/00,1200,3.5,,20.8,,,,,
83767,24/03/00,0,,31.6,,4.2,3.7,23.6,81.75,1
83767,24/03/00,1200,0,,20.2,,,,,
83767,25/03/00,0,,31,,8.8,2.5,24.96,70.5,0.333333
83767,25/03/00,1200,24.9,,19.2,,,,,
83767,26/03/00,0,,31.1,,11.1,4.5,24.98,64,1.333333
83767,26/03/00,1200,0.1,,19.7,,,,,
83767,27/03/00,0,,30.6,,9.3,5.2,25,73.5,1
83767,27/03/00,1200,0,,20.5,,,,,
83767,28/03/00,0,,27.6,,9,4.1,22.28,74.25,1
83767,28/03/00,1200,23.2,,17.7,,,,,
83767,29/03/00,0,,27.7,,2.9,3.3,22.74,81,0.666667
83767,29/03/00,1200,0,,19.6,,,,,
83767,30/03/00,0,,29,,10,2.8,23.36,68.25,1
83767,30/03/00,1200,0.8,,18.2,,,,,
83767,31/03/00,0,,29.7,,10.4,4.8,24.4,69,1.333333
83767,31/03/00,1200,0,,19,,,,,
83767,01/04/00,0,,30.9,,9.4,4.7,25.3,69,1
83767,01/04/00,1200,0,,21.5,,,,,
83767,02/04/00,0,,32.6,,9.7,4,25.2,65.75,1.666667
83767,02/04/00,1200,0,,21,,,,,
83767,03/04/00,0,,28.6,,10.3,5.6,22.72,62.5,1.666667
